hyperparam_group,max_lr,weight_decay,dropout,reduce_lr_ratio,slope_Leaky_ReLU
0,0.001,0.01,0.05,0.2,0.01
1,0.001,0.01,0.05,0.2,0.1
2,0.001,0.01,0.05,0.2,0.2
3,0.001,0.01,0.05,0.5,0.01
4,0.001,0.01,0.05,0.5,0.1
5,0.001,0.01,0.05,0.5,0.2
6,0.001,0.01,0.15,0.2,0.01
7,0.001,0.01,0.15,0.2,0.1
8,0.001,0.01,0.15,0.2,0.2
9,0.001,0.01,0.15,0.5,0.01
10,0.001,0.01,0.15,0.5,0.1
11,0.001,0.01,0.15,0.5,0.2
12,0.001,0.01,0.25,0.2,0.01
13,0.001,0.01,0.25,0.2,0.1
14,0.001,0.01,0.25,0.2,0.2
15,0.001,0.01,0.25,0.5,0.01
16,0.001,0.01,0.25,0.5,0.1
17,0.001,0.01,0.25,0.5,0.2
18,0.001,0.1,0.05,0.2,0.01
19,0.001,0.1,0.05,0.2,0.1
20,0.001,0.1,0.05,0.2,0.2
21,0.001,0.1,0.05,0.5,0.01
22,0.001,0.1,0.05,0.5,0.1
23,0.001,0.1,0.05,0.5,0.2
24,0.001,0.1,0.15,0.2,0.01
25,0.001,0.1,0.15,0.2,0.1
26,0.001,0.1,0.15,0.2,0.2
27,0.001,0.1,0.15,0.5,0.01
28,0.001,0.1,0.15,0.5,0.1
29,0.001,0.1,0.15,0.5,0.2
30,0.001,0.1,0.25,0.2,0.01
31,0.001,0.1,0.25,0.2,0.1
32,0.001,0.1,0.25,0.2,0.2
33,0.001,0.1,0.25,0.5,0.01
34,0.001,0.1,0.25,0.5,0.1
35,0.001,0.1,0.25,0.5,0.2
36,0.001,0.2,0.05,0.2,0.01
37,0.001,0.2,0.05,0.2,0.1
38,0.001,0.2,0.05,0.2,0.2
39,0.001,0.2,0.05,0.5,0.01
40,0.001,0.2,0.05,0.5,0.1
41,0.001,0.2,0.05,0.5,0.2
42,0.001,0.2,0.15,0.2,0.01
43,0.001,0.2,0.15,0.2,0.1
44,0.001,0.2,0.15,0.2,0.2
45,0.001,0.2,0.15,0.5,0.01
46,0.001,0.2,0.15,0.5,0.1
47,0.001,0.2,0.15,0.5,0.2
48,0.001,0.2,0.25,0.2,0.01
49,0.001,0.2,0.25,0.2,0.1
50,0.001,0.2,0.25,0.2,0.2
51,0.001,0.2,0.25,0.5,0.01
52,0.001,0.2,0.25,0.5,0.1
53,0.001,0.2,0.25,0.5,0.2
54,0.01,0.01,0.05,0.2,0.01
55,0.01,0.01,0.05,0.2,0.1
56,0.01,0.01,0.05,0.2,0.2
57,0.01,0.01,0.05,0.5,0.01
58,0.01,0.01,0.05,0.5,0.1
59,0.01,0.01,0.05,0.5,0.2
60,0.01,0.01,0.15,0.2,0.01
61,0.01,0.01,0.15,0.2,0.1
62,0.01,0.01,0.15,0.2,0.2
63,0.01,0.01,0.15,0.5,0.01
64,0.01,0.01,0.15,0.5,0.1
65,0.01,0.01,0.15,0.5,0.2
66,0.01,0.01,0.25,0.2,0.01
67,0.01,0.01,0.25,0.2,0.1
68,0.01,0.01,0.25,0.2,0.2
69,0.01,0.01,0.25,0.5,0.01
70,0.01,0.01,0.25,0.5,0.1
71,0.01,0.01,0.25,0.5,0.2
72,0.01,0.1,0.05,0.2,0.01
73,0.01,0.1,0.05,0.2,0.1
74,0.01,0.1,0.05,0.2,0.2
75,0.01,0.1,0.05,0.5,0.01
76,0.01,0.1,0.05,0.5,0.1
77,0.01,0.1,0.05,0.5,0.2
78,0.01,0.1,0.15,0.2,0.01
79,0.01,0.1,0.15,0.2,0.1
80,0.01,0.1,0.15,0.2,0.2
81,0.01,0.1,0.15,0.5,0.01
82,0.01,0.1,0.15,0.5,0.1
83,0.01,0.1,0.15,0.5,0.2
84,0.01,0.1,0.25,0.2,0.01
85,0.01,0.1,0.25,0.2,0.1
86,0.01,0.1,0.25,0.2,0.2
87,0.01,0.1,0.25,0.5,0.01
88,0.01,0.1,0.25,0.5,0.1
89,0.01,0.1,0.25,0.5,0.2
90,0.01,0.2,0.05,0.2,0.01
91,0.01,0.2,0.05,0.2,0.1
92,0.01,0.2,0.05,0.2,0.2
93,0.01,0.2,0.05,0.5,0.01
94,0.01,0.2,0.05,0.5,0.1
95,0.01,0.2,0.05,0.5,0.2
96,0.01,0.2,0.15,0.2,0.01
97,0.01,0.2,0.15,0.2,0.1
98,0.01,0.2,0.15,0.2,0.2
99,0.01,0.2,0.15,0.5,0.01
100,0.01,0.2,0.15,0.5,0.1
101,0.01,0.2,0.15,0.5,0.2
102,0.01,0.2,0.25,0.2,0.01
103,0.01,0.2,0.25,0.2,0.1
104,0.01,0.2,0.25,0.2,0.2
105,0.01,0.2,0.25,0.5,0.01
106,0.01,0.2,0.25,0.5,0.1
107,0.01,0.2,0.25,0.5,0.2
