hyperparam_group,max_lr,weight_decay,dropout,reduce_lr_ratio,exp_class_weight
0,0.001,0.01,0.05,0.2,0.75
1,0.001,0.01,0.05,0.2,1.0
2,0.001,0.01,0.05,0.2,1.25
3,0.001,0.01,0.05,0.2,2.0
4,0.001,0.01,0.05,0.5,0.75
5,0.001,0.01,0.05,0.5,1.0
6,0.001,0.01,0.05,0.5,1.25
7,0.001,0.01,0.05,0.5,2.0
8,0.001,0.01,0.15,0.2,0.75
9,0.001,0.01,0.15,0.2,1.0
10,0.001,0.01,0.15,0.2,1.25
11,0.001,0.01,0.15,0.2,2.0
12,0.001,0.01,0.15,0.5,0.75
13,0.001,0.01,0.15,0.5,1.0
14,0.001,0.01,0.15,0.5,1.25
15,0.001,0.01,0.15,0.5,2.0
16,0.001,0.01,0.25,0.2,0.75
17,0.001,0.01,0.25,0.2,1.0
18,0.001,0.01,0.25,0.2,1.25
19,0.001,0.01,0.25,0.2,2.0
20,0.001,0.01,0.25,0.5,0.75
21,0.001,0.01,0.25,0.5,1.0
22,0.001,0.01,0.25,0.5,1.25
23,0.001,0.01,0.25,0.5,2.0
24,0.001,0.1,0.05,0.2,0.75
25,0.001,0.1,0.05,0.2,1.0
26,0.001,0.1,0.05,0.2,1.25
27,0.001,0.1,0.05,0.2,2.0
28,0.001,0.1,0.05,0.5,0.75
29,0.001,0.1,0.05,0.5,1.0
30,0.001,0.1,0.05,0.5,1.25
31,0.001,0.1,0.05,0.5,2.0
32,0.001,0.1,0.15,0.2,0.75
33,0.001,0.1,0.15,0.2,1.0
34,0.001,0.1,0.15,0.2,1.25
35,0.001,0.1,0.15,0.2,2.0
36,0.001,0.1,0.15,0.5,0.75
37,0.001,0.1,0.15,0.5,1.0
38,0.001,0.1,0.15,0.5,1.25
39,0.001,0.1,0.15,0.5,2.0
40,0.001,0.1,0.25,0.2,0.75
41,0.001,0.1,0.25,0.2,1.0
42,0.001,0.1,0.25,0.2,1.25
43,0.001,0.1,0.25,0.2,2.0
44,0.001,0.1,0.25,0.5,0.75
45,0.001,0.1,0.25,0.5,1.0
46,0.001,0.1,0.25,0.5,1.25
47,0.001,0.1,0.25,0.5,2.0
48,0.01,0.01,0.05,0.2,0.75
49,0.01,0.01,0.05,0.2,1.0
50,0.01,0.01,0.05,0.2,1.25
51,0.01,0.01,0.05,0.2,2.0
52,0.01,0.01,0.05,0.5,0.75
53,0.01,0.01,0.05,0.5,1.0
54,0.01,0.01,0.05,0.5,1.25
55,0.01,0.01,0.05,0.5,2.0
56,0.01,0.01,0.15,0.2,0.75
57,0.01,0.01,0.15,0.2,1.0
58,0.01,0.01,0.15,0.2,1.25
59,0.01,0.01,0.15,0.2,2.0
60,0.01,0.01,0.15,0.5,0.75
61,0.01,0.01,0.15,0.5,1.0
62,0.01,0.01,0.15,0.5,1.25
63,0.01,0.01,0.15,0.5,2.0
64,0.01,0.01,0.25,0.2,0.75
65,0.01,0.01,0.25,0.2,1.0
66,0.01,0.01,0.25,0.2,1.25
67,0.01,0.01,0.25,0.2,2.0
68,0.01,0.01,0.25,0.5,0.75
69,0.01,0.01,0.25,0.5,1.0
70,0.01,0.01,0.25,0.5,1.25
71,0.01,0.01,0.25,0.5,2.0
72,0.01,0.1,0.05,0.2,0.75
73,0.01,0.1,0.05,0.2,1.0
74,0.01,0.1,0.05,0.2,1.25
75,0.01,0.1,0.05,0.2,2.0
76,0.01,0.1,0.05,0.5,0.75
77,0.01,0.1,0.05,0.5,1.0
78,0.01,0.1,0.05,0.5,1.25
79,0.01,0.1,0.05,0.5,2.0
80,0.01,0.1,0.15,0.2,0.75
81,0.01,0.1,0.15,0.2,1.0
82,0.01,0.1,0.15,0.2,1.25
83,0.01,0.1,0.15,0.2,2.0
84,0.01,0.1,0.15,0.5,0.75
85,0.01,0.1,0.15,0.5,1.0
86,0.01,0.1,0.15,0.5,1.25
87,0.01,0.1,0.15,0.5,2.0
88,0.01,0.1,0.25,0.2,0.75
89,0.01,0.1,0.25,0.2,1.0
90,0.01,0.1,0.25,0.2,1.25
91,0.01,0.1,0.25,0.2,2.0
92,0.01,0.1,0.25,0.5,0.75
93,0.01,0.1,0.25,0.5,1.0
94,0.01,0.1,0.25,0.5,1.25
95,0.01,0.1,0.25,0.5,2.0
